seed,state_idx,split,ood_type,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode,history_obs,history_act
0,2095,train,none,3,"[-3.1574511528015137, -3.327348470687866]","[-3.155444622039795, -3.3253419399261475]","[-4.253101348876953, -4.422998428344727]","[-0.00200653076171875, -0.00200653076171875]","[-1.0976567268371582, -1.097656488418579]",0,1,"[[-3.7393836975097656, -3.415184497833252], [-3.9435079097747803, -3.648308277130127], [-3.8384344577789307, -3.5356597900390625], [-3.98527193069458, -3.7100765705108643], [-4.047359943389893, -3.93351411819458], [-3.7990193367004395, -3.7456517219543457], [-4.124408721923828, -3.955324172973633], [-3.7304675579071045, -3.757547616958618]]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]"
0,2095,train,none,5,"[-3.5490174293518066, -3.882565975189209]","[-2.7549872398376465, -3.088535785675049]","[-3.7953193187713623, -4.1288676261901855]","[-0.7940301895141602, -0.7940301895141602]","[-1.0403320789337158, -1.0403318405151367]",0,1,"[[-3.7393836975097656, -3.415184497833252], [-3.9435079097747803, -3.648308277130127], [-3.8384344577789307, -3.5356597900390625], [-3.98527193069458, -3.7100765705108643], [-4.047359943389893, -3.93351411819458], [-3.7990193367004395, -3.7456517219543457], [-4.124408721923828, -3.955324172973633], [-3.7304675579071045, -3.757547616958618]]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]"
0,2061,train,none,1,"[-3.4410810470581055, -3.1185519695281982]","[-3.443563938140869, -3.121035099029541]","[-3.8460471630096436, -3.5235180854797363]","[0.002482891082763672, 0.0024831295013427734]","[-0.4024832248687744, -0.4024829864501953]",-1,1,"[[-3.025958776473999, -2.8454880714416504], [-3.3955373764038086, -3.1112232208251953], [-3.5570907592773438, -3.369504451751709], [-3.431246280670166, -3.2175796031951904], [-3.634269952774048, -3.517112970352173], [-3.4176042079925537, -3.3115909099578857], [-3.2444913387298584, -3.104182004928589], [-3.6084072589874268, -3.3359177112579346]]","[0.0, 1.0, 1.0, 0.0, 1.0, -1.0, -1.0, 1.0]"
0,2061,train,none,3,"[-3.020582437515259, -2.93363618850708]","[-3.050792932510376, -2.9638469219207764]","[-4.1739182472229, -4.086972236633301]","[0.030210494995117188, 0.03021073341369629]","[-1.1231253147125244, -1.1231253147125244]",-1,1,"[[-3.025958776473999, -2.8454880714416504], [-3.3955373764038086, -3.1112232208251953], [-3.5570907592773438, -3.369504451751709], [-3.431246280670166, -3.2175796031951904], [-3.634269952774048, -3.517112970352173], [-3.4176042079925537, -3.3115909099578857], [-3.2444913387298584, -3.104182004928589], [-3.6084072589874268, -3.3359177112579346]]","[0.0, 1.0, 1.0, 0.0, 1.0, -1.0, -1.0, 1.0]"
0,2061,train,none,5,"[-3.4479780197143555, -3.5497255325317383]","[-2.660539150238037, -2.76228666305542]","[-3.7109992504119873, -3.8127472400665283]","[-0.7874388694763184, -0.7874388694763184]","[-1.0504601001739502, -1.0504605770111084]",0,1,"[[-3.025958776473999, -2.8454880714416504], [-3.3955373764038086, -3.1112232208251953], [-3.5570907592773438, -3.369504451751709], [-3.431246280670166, -3.2175796031951904], [-3.634269952774048, -3.517112970352173], [-3.4176042079925537, -3.3115909099578857], [-3.2444913387298584, -3.104182004928589], [-3.6084072589874268, -3.3359177112579346]]","[0.0, 1.0, 1.0, 0.0, 1.0, -1.0, -1.0, 1.0]"
0,1862,train,none,1,"[-3.9544241428375244, -3.855778932571411]","[-3.561386823654175, -3.4627416133880615]","[-3.5683493614196777, -3.4697043895721436]","[-0.3930373191833496, -0.3930373191833496]","[-0.00696253776550293, -0.006962776184082031]",0,0,"[[-2.9913060665130615, -2.8711302280426025], [-2.813540458679199, -2.791710376739502], [-3.1156768798828125, -3.1751890182495117], [-3.3779184818267822, -3.477940797805786], [-3.280564069747925, -3.339521646499634], [-3.109365940093994, -3.1890623569488525], [-3.4037656784057617, -3.502969264984131], [-3.732431173324585, -3.6956088542938232]]","[1.0, 0.0, -1.0, -1.0, 0.0, 1.0, -1.0, -1.0]"
0,1862,train,none,3,"[-4.257502555847168, -4.3726115226745605]","[-3.15712833404541, -3.2722370624542236]","[-3.1557295322418213, -3.270838499069214]","[-1.1003742218017578, -1.100374460220337]","[0.0013988018035888672, 0.0013985633850097656]",1,0,"[[-2.9913060665130615, -2.8711302280426025], [-2.813540458679199, -2.791710376739502], [-3.1156768798828125, -3.1751890182495117], [-3.3779184818267822, -3.477940797805786], [-3.280564069747925, -3.339521646499634], [-3.109365940093994, -3.1890623569488525], [-3.4037656784057617, -3.502969264984131], [-3.732431173324585, -3.6956088542938232]]","[1.0, 0.0, -1.0, -1.0, 0.0, 1.0, -1.0, -1.0]"
0,1862,train,none,5,"[-3.7978897094726562, -4.081991672515869]","[-2.7565066814422607, -3.0406086444854736]","[-3.549858331680298, -3.833960771560669]","[-1.0413830280303955, -1.0413830280303955]","[-0.7933516502380371, -0.7933521270751953]",0,0,"[[-2.9913060665130615, -2.8711302280426025], [-2.813540458679199, -2.791710376739502], [-3.1156768798828125, -3.1751890182495117], [-3.3779184818267822, -3.477940797805786], [-3.280564069747925, -3.339521646499634], [-3.109365940093994, -3.1890623569488525], [-3.4037656784057617, -3.502969264984131], [-3.732431173324585, -3.6956088542938232]]","[1.0, 0.0, -1.0, -1.0, 0.0, 1.0, -1.0, -1.0]"
0,1624,train,none,1,"[-3.440321922302246, -3.4209213256835938]","[-3.0253872871398926, -3.0059866905212402]","[-3.0104527473449707, -2.9910521507263184]","[-0.4149346351623535, -0.4149346351623535]","[0.014934539794921875, 0.014934539794921875]",1,0,"[[-3.1361804008483887, -3.3163034915924072], [-3.373856544494629, -3.4900970458984375], [-3.6220240592956543, -3.7709178924560547], [-3.4651825428009033, -3.5358057022094727], [-3.6824240684509277, -3.7064812183380127], [-3.448390483856201, -3.6144537925720215], [-3.2950246334075928, -3.3757383823394775], [-3.1682212352752686, -3.2148141860961914]]","[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 0.0]"
0,1624,train,none,3,"[-3.8260061740875244, -4.012633323669434]","[-2.6733884811401367, -2.860015869140625]","[-2.604802370071411, -2.7914297580718994]","[-1.1526176929473877, -1.1526174545288086]","[0.06858611106872559, 0.06858611106872559]",1,0,"[[-3.1361804008483887, -3.3163034915924072], [-3.373856544494629, -3.4900970458984375], [-3.6220240592956543, -3.7709178924560547], [-3.4651825428009033, -3.5358057022094727], [-3.6824240684509277, -3.7064812183380127], [-3.448390483856201, -3.6144537925720215], [-3.2950246334075928, -3.3757383823394775], [-3.1682212352752686, -3.2148141860961914]]","[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 0.0]"
0,1624,train,none,5,"[-3.3830347061157227, -3.731682300567627]","[-2.3199315071105957, -2.6685791015625]","[-3.0989091396331787, -3.447556495666504]","[-1.063103199005127, -1.063103199005127]","[-0.778977632522583, -0.7789773941040039]",0,0,"[[-3.1361804008483887, -3.3163034915924072], [-3.373856544494629, -3.4900970458984375], [-3.6220240592956543, -3.7709178924560547], [-3.4651825428009033, -3.5358057022094727], [-3.6824240684509277, -3.7064812183380127], [-3.448390483856201, -3.6144537925720215], [-3.2950246334075928, -3.3757383823394775], [-3.1682212352752686, -3.2148141860961914]]","[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 0.0]"
0,872,train,none,1,"[-4.264350414276123, -4.170286655426025]","[-3.8833587169647217, -3.7892954349517822]","[-3.902367353439331, -3.8083038330078125]","[-0.38099169731140137, -0.38099122047424316]","[-0.019008636474609375, -0.019008398056030273]",0,0,"[[-3.908003807067871, -3.5794951915740967], [-3.7671666145324707, -3.5267021656036377], [-3.524287700653076, -3.306234836578369], [-3.774169683456421, -3.590942144393921], [-3.6242153644561768, -3.415691375732422], [-3.6869311332702637, -3.73043155670166], [-3.9161934852600098, -3.8510429859161377], [-4.071349143981934, -4.039349555969238]]","[0.0, 1.0, 0.0, -1.0, 1.0, -1.0, -1.0, -1.0]"
0,872,train,none,3,"[-4.518613815307617, -4.637857913970947]","[-3.4477076530456543, -3.5669519901275635]","[-3.482799768447876, -3.602043867111206]","[-1.070906162261963, -1.0709059238433838]","[-0.03509211540222168, -0.03509187698364258]",0,0,"[[-3.908003807067871, -3.5794951915740967], [-3.7671666145324707, -3.5267021656036377], [-3.524287700653076, -3.306234836578369], [-3.774169683456421, -3.590942144393921], [-3.6242153644561768, -3.415691375732422], [-3.6869311332702637, -3.73043155670166], [-3.9161934852600098, -3.8510429859161377], [-4.071349143981934, -4.039349555969238]]","[0.0, 1.0, 0.0, -1.0, 1.0, -1.0, -1.0, -1.0]"
0,872,train,none,5,"[-4.048593044281006, -4.336427688598633]","[-3.018754482269287, -3.306588888168335]","[-3.8200182914733887, -4.107852458953857]","[-1.0298385620117188, -1.0298388004302979]","[-0.8012638092041016, -0.8012635707855225]",0,0,"[[-3.908003807067871, -3.5794951915740967], [-3.7671666145324707, -3.5267021656036377], [-3.524287700653076, -3.306234836578369], [-3.774169683456421, -3.590942144393921], [-3.6242153644561768, -3.415691375732422], [-3.6869311332702637, -3.73043155670166], [-3.9161934852600098, -3.8510429859161377], [-4.071349143981934, -4.039349555969238]]","[0.0, 1.0, 0.0, -1.0, 1.0, -1.0, -1.0, -1.0]"
0,2077,train,none,1,"[-3.625490427017212, -2.9848735332489014]","[-3.2046444416046143, -2.5640273094177246]","[-3.183798313140869, -2.5431811809539795]","[-0.42084598541259766, -0.42084622383117676]","[0.020846128463745117, 0.020846128463745117]",1,0,"[[-3.195482015609741, -2.783592939376831], [-3.417855978012085, -3.037478446960449], [-3.707050085067749, -3.1616861820220947], [-3.423776388168335, -3.085585355758667], [-3.2620668411254883, -2.923107385635376], [-3.1875386238098145, -2.7613165378570557], [-3.030988931655884, -2.492872953414917], [-3.356912851333618, -2.749593734741211]]","[1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 1.0]"
0,2077,train,none,3,"[-4.001719951629639, -3.627699375152588]","[-2.8351681232452393, -2.4611473083496094]","[-2.7483348846435547, -2.374314069747925]","[-1.1665518283843994, -1.1665520668029785]","[0.08683323860168457, 0.08683323860168457]",1,0,"[[-3.195482015609741, -2.783592939376831], [-3.417855978012085, -3.037478446960449], [-3.707050085067749, -3.1616861820220947], [-3.423776388168335, -3.085585355758667], [-3.2620668411254883, -2.923107385635376], [-3.1875386238098145, -2.7613165378570557], [-3.030988931655884, -2.492872953414917], [-3.356912851333618, -2.749593734741211]]","[1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 1.0]"
0,2077,train,none,5,"[-3.534407377243042, -3.377070188522339]","[-2.465937614440918, -2.3086001873016357]","[-3.2421512603759766, -3.0848138332366943]","[-1.068469762802124, -1.0684700012207031]","[-0.7762136459350586, -0.7762136459350586]",0,0,"[[-3.195482015609741, -2.783592939376831], [-3.417855978012085, -3.037478446960449], [-3.707050085067749, -3.1616861820220947], [-3.423776388168335, -3.085585355758667], [-3.2620668411254883, -2.923107385635376], [-3.1875386238098145, -2.7613165378570557], [-3.030988931655884, -2.492872953414917], [-3.356912851333618, -2.749593734741211]]","[1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 1.0]"
0,1768,train,none,1,"[-3.5463273525238037, -3.992424964904785]","[-3.5299601554870605, -3.976057529449463]","[-3.913593053817749, -4.359690189361572]","[-0.016367197036743164, -0.016367435455322266]","[-0.3836328983306885, -0.3836326599121094]",0,1,"[[-3.1014957427978516, -3.418290615081787], [-2.936676025390625, -3.2849738597869873], [-3.154235363006592, -3.5357370376586914], [-3.3951632976531982, -3.7607908248901367], [-3.605288505554199, -4.018246650695801], [-3.8443639278411865, -4.252808570861816], [-4.009368896484375, -4.465093612670898], [-3.699350595474243, -4.235941410064697]]","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
0,1768,train,none,3,"[-3.15584135055542, -3.7625808715820312]","[-3.12876558303833, -3.735504627227783]","[-4.206274509429932, -4.813013076782227]","[-0.027075767517089844, -0.027076244354248047]","[-1.0775089263916016, -1.0775084495544434]",0,1,"[[-3.1014957427978516, -3.418290615081787], [-2.936676025390625, -3.2849738597869873], [-3.154235363006592, -3.5357370376586914], [-3.3951632976531982, -3.7607908248901367], [-3.605288505554199, -4.018246650695801], [-3.8443639278411865, -4.252808570861816], [-4.009368896484375, -4.465093612670898], [-3.699350595474243, -4.235941410064697]]","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
0,1768,train,none,5,"[-3.530034303665161, -4.257833003997803]","[-2.7309093475341797, -3.458707809448242]","[-3.7634942531585693, -4.4912919998168945]","[-0.7991249561309814, -0.7991251945495605]","[-1.0325849056243896, -1.0325841903686523]",0,1,"[[-3.1014957427978516, -3.418290615081787], [-2.936676025390625, -3.2849738597869873], [-3.154235363006592, -3.5357370376586914], [-3.3951632976531982, -3.7607908248901367], [-3.605288505554199, -4.018246650695801], [-3.8443639278411865, -4.252808570861816], [-4.009368896484375, -4.465093612670898], [-3.699350595474243, -4.235941410064697]]","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
0,2354,train,none,1,"[-1.7903262376785278, -1.8035566806793213]","[-1.8799859285354614, -1.8932164907455444]","[-2.369645833969116, -2.38287615776062]","[0.0896596908569336, 0.08965981006622314]","[-0.4896599054336548, -0.4896596670150757]",-1,1,"[[-2.397449016571045, -2.3720622062683105], [-2.363179922103882, -2.1947333812713623], [-2.1545403003692627, -2.0276503562927246], [-1.962907314300537, -1.93495512008667], [-1.863260269165039, -1.8710789680480957], [-1.655004620552063, -1.822678804397583], [-2.061793804168701, -2.255227565765381], [-1.9625356197357178, -2.0434770584106445]]","[-1.0, 0.0, -1.0, -1.0, 0.0, 1.0, -1.0, -1.0]"
0,2354,train,none,3,"[-1.330046534538269, -1.5461232662200928]","[-1.639663815498352, -1.8557406663894653]","[-2.957791805267334, -3.173868179321289]","[0.309617280960083, 0.30961740016937256]","[-1.318127989768982, -1.3181275129318237]",-1,1,"[[-2.397449016571045, -2.3720622062683105], [-2.363179922103882, -2.1947333812713623], [-2.1545403003692627, -2.0276503562927246], [-1.962907314300537, -1.93495512008667], [-1.863260269165039, -1.8710789680480957], [-1.655004620552063, -1.822678804397583], [-2.061793804168701, -2.255227565765381], [-1.9625356197357178, -2.0434770584106445]]","[-1.0, 0.0, -1.0, -1.0, 0.0, 1.0, -1.0, -1.0]"
0,2354,train,none,5,"[-2.1210389137268066, -2.4962644577026367]","[-1.3869949579238892, -1.7622207403182983]","[-2.5287892818450928, -2.904014825820923]","[-0.7340439558029175, -0.7340437173843384]","[-1.1417943239212036, -1.1417940855026245]",0,1,"[[-2.397449016571045, -2.3720622062683105], [-2.363179922103882, -2.1947333812713623], [-2.1545403003692627, -2.0276503562927246], [-1.962907314300537, -1.93495512008667], [-1.863260269165039, -1.8710789680480957], [-1.655004620552063, -1.822678804397583], [-2.061793804168701, -2.255227565765381], [-1.9625356197357178, -2.0434770584106445]]","[-1.0, 0.0, -1.0, -1.0, 0.0, 1.0, -1.0, -1.0]"
0,428,train,none,1,"[-3.4729809761047363, -3.4036993980407715]","[-3.0584402084350586, -2.9891586303710938]","[-3.0438992977142334, -2.9746179580688477]","[-0.41454076766967773, -0.41454076766967773]","[0.014540910720825195, 0.014540672302246094]",1,0,"[[-2.626490592956543, -2.476378917694092], [-2.9397635459899902, -2.8270416259765625], [-3.1774020195007324, -3.063223361968994], [-2.9651947021484375, -2.889702558517456], [-2.7882285118103027, -2.7866275310516357], [-3.0284833908081055, -3.1396191120147705], [-2.90106463432312, -2.889979600906372], [-3.2030136585235596, -3.1971004009246826]]","[-1.0, -1.0, -1.0, 0.0, 1.0, -1.0, 0.0, -1.0]"
0,428,train,none,3,"[-3.8549060821533203, -3.9965157508850098]","[-2.703218698501587, -2.8448286056518555]","[-2.635857343673706, -2.7774674892425537]","[-1.1516873836517334, -1.1516871452331543]","[0.06736135482788086, 0.06736111640930176]",1,0,"[[-2.626490592956543, -2.476378917694092], [-2.9397635459899902, -2.8270416259765625], [-3.1774020195007324, -3.063223361968994], [-2.9651947021484375, -2.889702558517456], [-2.7882285118103027, -2.7866275310516357], [-3.0284833908081055, -3.1396191120147705], [-2.90106463432312, -2.889979600906372], [-3.2030136585235596, -3.1971004009246826]]","[-1.0, -1.0, -1.0, 0.0, 1.0, -1.0, 0.0, -1.0]"
0,428,train,none,5,"[-3.40952205657959, -3.717541217803955]","[-2.346853494644165, -2.6548726558685303]","[-3.1261541843414307, -3.434173583984375]","[-1.0626685619354248, -1.0626685619354248]","[-0.7793006896972656, -0.7793009281158447]",0,0,"[[-2.626490592956543, -2.476378917694092], [-2.9397635459899902, -2.8270416259765625], [-3.1774020195007324, -3.063223361968994], [-2.9651947021484375, -2.889702558517456], [-2.7882285118103027, -2.7866275310516357], [-3.0284833908081055, -3.1396191120147705], [-2.90106463432312, -2.889979600906372], [-3.2030136585235596, -3.1971004009246826]]","[-1.0, -1.0, -1.0, 0.0, 1.0, -1.0, 0.0, -1.0]"
0,654,train,none,1,"[-3.80973219871521, -3.3586525917053223]","[-3.800123929977417, -3.3490443229675293]","[-4.190515518188477, -3.739436149597168]","[-0.009608268737792969, -0.009608268737792969]","[-0.39039158821105957, -0.39039182662963867]",0,1,"[[-3.5911591053009033, -3.2028861045837402], [-3.7614729404449463, -3.4731106758117676], [-3.6017563343048096, -3.247154712677002], [-3.398094415664673, -3.0799689292907715], [-3.6731815338134766, -3.299683094024658], [-3.848745584487915, -3.5452725887298584], [-3.7217466831207275, -3.4487526416778564], [-3.9837334156036377, -3.575927495956421]]","[-1.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0, 1.0]"
0,654,train,none,3,"[-3.379256010055542, -3.176293134689331]","[-3.3725883960723877, -3.1696252822875977]","[-4.466555595397949, -4.263592720031738]","[-0.006667613983154297, -0.0066678524017333984]","[-1.0939671993255615, -1.0939674377441406]",0,1,"[[-3.5911591053009033, -3.2028861045837402], [-3.7614729404449463, -3.4731106758117676], [-3.6017563343048096, -3.247154712677002], [-3.398094415664673, -3.0799689292907715], [-3.6731815338134766, -3.299683094024658], [-3.848745584487915, -3.5452725887298584], [-3.7217466831207275, -3.4487526416778564], [-3.9837334156036377, -3.575927495956421]]","[-1.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0, 1.0]"
0,654,train,none,5,"[-3.746396780014038, -3.743439197540283]","[-2.9509594440460205, -2.9480016231536865]","[-3.989548683166504, -3.986591339111328]","[-0.7954373359680176, -0.7954375743865967]","[-1.0385892391204834, -1.0385897159576416]",0,1,"[[-3.5911591053009033, -3.2028861045837402], [-3.7614729404449463, -3.4731106758117676], [-3.6017563343048096, -3.247154712677002], [-3.398094415664673, -3.0799689292907715], [-3.6731815338134766, -3.299683094024658], [-3.848745584487915, -3.5452725887298584], [-3.7217466831207275, -3.4487526416778564], [-3.9837334156036377, -3.575927495956421]]","[-1.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0, 1.0]"
0,2202,train,none,1,"[-2.1757965087890625, -1.9211235046386719]","[-2.2459981441497803, -1.9913252592086792]","[-2.716200113296509, -2.461527109146118]","[0.07020163536071777, 0.07020175457000732]","[-0.4702019691467285, -0.47020184993743896]",-1,1,"[[-3.1971945762634277, -3.0732438564300537], [-2.9591097831726074, -2.8993711471557617], [-3.218421697616577, -3.184743881225586], [-2.9841768741607666, -2.959430694580078], [-2.84122371673584, -2.655754804611206], [-2.5603206157684326, -2.417175531387329], [-2.451183557510376, -2.383127212524414], [-2.347811698913574, -2.146749496459961]]","[0.0, 0.0, 1.0, -1.0, 0.0, -1.0, 0.0, -1.0]"
0,2202,train,none,3,"[-1.7254048585891724, -1.699698805809021]","[-1.9699898958206177, -1.9442838430404663]","[-3.2468791007995605, -3.22117280960083]","[0.2445850372314453, 0.2445850372314453]","[-1.2768892049789429, -1.2768889665603638]",-1,1,"[[-3.1971945762634277, -3.0732438564300537], [-2.9591097831726074, -2.8993711471557617], [-3.218421697616577, -3.184743881225586], [-2.9841768741607666, -2.959430694580078], [-2.84122371673584, -2.655754804611206], [-2.5603206157684326, -2.417175531387329], [-2.451183557510376, -2.383127212524414], [-2.347811698913574, -2.146749496459961]]","[0.0, 0.0, 1.0, -1.0, 0.0, -1.0, 0.0, -1.0]"
0,2202,train,none,5,"[-2.4307925701141357, -2.5878093242645264]","[-1.6851142644882202, -1.8421308994293213]","[-2.8055460453033447, -2.9625625610351562]","[-0.7456783056259155, -0.7456784248352051]","[-1.1204317808151245, -1.120431661605835]",0,1,"[[-3.1971945762634277, -3.0732438564300537], [-2.9591097831726074, -2.8993711471557617], [-3.218421697616577, -3.184743881225586], [-2.9841768741607666, -2.959430694580078], [-2.84122371673584, -2.655754804611206], [-2.5603206157684326, -2.417175531387329], [-2.451183557510376, -2.383127212524414], [-2.347811698913574, -2.146749496459961]]","[0.0, 0.0, 1.0, -1.0, 0.0, -1.0, 0.0, -1.0]"
